,metrics,LatentMotif,MDL,Motiflets_numba,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.5_mean,0,0.556,0.584,0.0,0,0,0.478,0.0
1,es_fscore_0.5_std,0,0.455,0.325,0.0,0,0,0.393,0.0
2,es_precision_0.5_mean,0,0.6,0.8,0.0,0,0,0.56,0.0
3,es_precision_0.5_std,0,0.49,0.4,0.0,0,0,0.463,0.0
4,es_recall_0.5_mean,0,0.52,0.48,1.0,0,0,0.84,0.333
5,es_recall_0.5_std,0,0.431,0.299,0.0,0,0,0.196,0.471
6,execution_time_mean,0,13260.799,3125.264,11102.342,0,0,11524.435,333.474
7,execution_time_std,0,2720.564,42.568,2325.049,0,0,2261.301,234.527
