,metrics,LatentMotif,MDL,Motiflets_numba,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.5_mean,0,0.378,0.762,0.0,0,0,0.5,0.0
1,es_fscore_0.5_std,0,0.464,0.156,0.0,0,0,0.418,0.0
2,es_precision_0.5_mean,0,0.4,1.0,0.0,0,0,0.6,0.0
3,es_precision_0.5_std,0,0.49,0.0,0.0,0,0,0.49,0.0
4,es_recall_0.5_mean,0,0.36,0.64,1.0,0,0,0.84,0.0
5,es_recall_0.5_std,0,0.445,0.196,0.0,0,0,0.196,0.0
6,execution_time_mean,0,75300.435,13803.863,61465.146,0,0,60805.515,2681.791
7,execution_time_std,0,4835.614,179.837,3732.276,0,0,4851.756,57.836
