,metrics,LatentMotif,MDL,Motiflets_numba,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.5_mean,0,0.778,0.635,0.0,0,0.005,0.578,0.0
1,es_fscore_0.5_std,0,0.391,0.127,0.0,0,0.0,0.473,0.0
2,es_precision_0.5_mean,0,0.8,1.0,0.0,0,0.002,0.6,0.0
3,es_precision_0.5_std,0,0.4,0.0,0.0,0,0.0,0.49,0.0
4,es_recall_0.5_mean,0,0.76,0.48,1.0,0,1.0,0.96,0.52
5,es_recall_0.5_std,0,0.388,0.16,0.0,0,0.0,0.08,0.449
6,execution_time_mean,0,1624.378,416.58,1208.121,0,177442.998,1269.739,46.311
7,execution_time_std,0,59.582,7.407,10.157,0,0.0,19.428,22.525
