,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz,Motiflets_numba
0,es_fscore_0.5_mean,0.003,0,0,0.025,0,0,0.143,0,0,0.163,0.0,0.0
1,es_fscore_0.5_std,0.027,0,0,0.075,0,0,0.127,0,0,0.149,0.0,0.004
2,es_precision_0.5_mean,0.003,0,0,0.058,0,0,0.102,0,0,0.125,0.52,0.022
3,es_precision_0.5_std,0.027,0,0,0.164,0,0,0.105,0,0,0.143,0.2,0.094
4,es_recall_0.5_mean,0.003,0,0,0.018,0,0,0.494,0,0,0.458,0.0,0.006
5,es_recall_0.5_std,0.028,0,0,0.058,0,0,0.173,0,0,0.176,0.0,0.028
6,execution_time_mean,498.185,0,0,231.097,0,0,1283.026,0,0,1311.99,63.469,15704.819
7,execution_time_std,96.23,0,0,122.326,0,0,99.678,0,0,121.147,12.253,9801.063
