,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz,Motiflets_numba
0,es_fscore_0.5_mean,0.063,0,0,0.144,0,0,0.173,0,0,0.194,0.094,0.184
1,es_fscore_0.5_std,0.036,0,0,0.09,0,0,0.025,0,0,0.065,0.067,0.135
2,es_precision_0.5_mean,0.627,0,0,0.386,0,0,0.434,0,0,0.704,0.362,0.257
3,es_precision_0.5_std,0.127,0,0,0.2,0,0,0.148,0,0,0.164,0.14,0.142
4,es_recall_0.5_mean,0.041,0,0,0.098,0,0,0.319,0,0,0.238,0.061,0.161
5,es_recall_0.5_std,0.05,0,0,0.066,0,0,0.014,0,0,0.129,0.044,0.124
6,execution_time_mean,298.668,0,0,50.064,0,0,906.627,0,0,899.291,5.476,15476.813
7,execution_time_std,24.257,0,0,11.476,0,0,86.313,0,0,87.701,17.777,3600.7
